mz,rt,Neutral_Operator_Dif_Pos_1x_O1_A,Neutral_Operator_Dif_Pos_1x_O1_B,Neutral_Operator_Dif_Pos_1x_O1_C,Neutral_Operator_Dif_Pos_1x_O2_A,Neutral_Operator_Dif_Pos_1x_O2_B,Neutral_Operator_Dif_Pos_1x_O2_C,Neutral_Operator_Dif_Pos_1x_O3_A,Neutral_Operator_Dif_Pos_1x_O3_B,Neutral_Operator_Dif_Pos_1x_O3_C,Neutral_Operator_Dif_Pos_2x_O1_A,Neutral_Operator_Dif_Pos_2x_O1_B,Neutral_Operator_Dif_Pos_2x_O1_C,Neutral_Operator_Dif_Pos_2x_O2_A,Neutral_Operator_Dif_Pos_2x_O2_B,Neutral_Operator_Dif_Pos_2x_O2_C,Neutral_Operator_Dif_Pos_2x_O3_A,Neutral_Operator_Dif_Pos_2x_O3_B,Neutral_Operator_Dif_Pos_2x_O3_C,Neutral_Operator_Dif_Pos_4x_O1_A,Neutral_Operator_Dif_Pos_4x_O1_B,Neutral_Operator_Dif_Pos_4x_O1_C,Neutral_Operator_Dif_Pos_4x_O2_A,Neutral_Operator_Dif_Pos_4x_O2_B,Neutral_Operator_Dif_Pos_4x_O2_C,Neutral_Operator_Dif_Pos_4x_O3_A,Neutral_Operator_Dif_Pos_4x_O3_B,Neutral_Operator_Dif_Pos_4x_O3_C
249.1652,0.6850526,1,157078,259117,248722,262358,251634,261612,1,272957,196740,1,198006,212577,225803,214915,267571,1,1,162642,176010,282270,211247,204922,206426,1,1,1
578.8371,0.8691852,76878,71433,76173,66943,71379,68790,78814,77577,77460,76961,84867,77965,90603,92792,86923,76151,80455,79447,71874,76009,78883,69987,69043,70456,72476,80139,77721
525.3138,0.6106667,109078,1,1,1,146016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,113093,1,1
788.4416,0.80929154,47104,47202,47414,45589,48284,48621,50740,31540,30918,46538,46661,1,57548,36390,36141,30582,49692,51914,40868,1,1,43684,44571,43363,47434,48857,49457
656.3605,0.6963889,67475,1,1,1,73232,70793,74432,80209,78919,63345,1,63868,1,100648,100317,80454,74886,1,54274,1,60029,1,68837,66789,68294,1,70240
436.2297,0.70224,121131,132715,129642,138589,153062,145932,140032,146645,146479,1,114901,120951,205159,225711,228464,153940,136265,144287,103122,107321,1,119034,132321,127401,121871,123026,136366
392.203,0.7065601,113332,114560,120378,127122,142107,134795,126744,251621,246730,104115,1,103765,189912,210687,387055,134176,244637,1,95149,96969,195404,230970,117904,116812,109019,221350,109996
188.0669,0.696875,38597,1,41901,36158,32965,1,24990,30183,26856,1,1,41593,1,1,1,1,25608,28147,30210,25908,30179,1,1,1,27838,30359,34818
356.2116,0.68392587,480717,482589,496080,605457,634345,618166,706575,709609,712914,514032,536611,511609,585596,597530,578240,726562,742075,749681,466103,492625,487858,548327,549364,534292,537598,531805,564866
201.1728,0.7027778,1400133,1348733,1410593,1350307,1386872,1357088,1549338,1531343,1516499,1333292,1358830,1349882,1377568,1391520,1341810,1371372,1410490,1413146,1208804,1247351,1271804,1465538,1461336,1472537,1109450,1122178,1105407
356.7107,0.6827408,126361,123995,123978,172999,177737,171573,195037,192965,194011,133869,137537,134302,154697,155750,157357,200119,203372,208508,117116,124137,124443,146232,147012,142761,142864,144288,143288
348.1766,0.70959276,307076,300652,304205,340124,356193,346860,321475,325269,318649,264957,9734,263033,454912,472000,457129,290301,287988,294596,236616,241047,248734,288922,286145,287548,279216,273192,282051
184.1569,0.7074286,44554,45931,44965,1,47371,1,43109,44547,43014,39665,41690,38920,47498,45595,1,44214,46016,46273,1,38588,39704,45414,1,43551,1,42736,41778
133.1109,0.70862967,766265,744584,755918,674276,688908,686254,712631,719158,722202,621028,627720,626328,633838,629492,622156,745312,761418,778085,634881,668152,687372,676928,665774,656212,770933,782633,782970
157.1471,0.7114815,368143,367422,380856,353296,362241,358201,293715,290238,290016,173552,174014,170513,263350,259949,260943,366058,370984,381630,347960,364737,374635,302846,294009,285102,223028,224486,227628
304.1506,0.7151852,460288,451797,461050,502293,526565,516989,511901,511025,509397,414571,407944,405338,605861,625474,605936,419309,411431,421199,346009,359702,366400,432060,432474,423199,385568,388592,400838
172.0712,0.7246296,112734,111185,106875,121128,127337,122955,145717,140954,140001,120642,117874,120664,122779,119953,120292,133176,137453,134943,97210,104436,108085,187044,187277,182644,130494,133338,124797
712.4159,0.7560739,113967,108836,110121,129457,132968,129975,144385,150410,147450,117783,122091,115901,88475,86101,124621,151035,151920,158473,111748,119143,124405,119403,121631,115610,120031,125890,129256
216.0985,0.72670364,428184,423565,421060,479084,497283,506794,490596,497553,486514,511499,509083,495891,440311,446134,456719,474092,485773,486946,369259,378476,391824,697424,704765,701818,467639,474119,477929
260.1236,0.72277784,566609,557626,561320,541380,563005,552595,558746,549286,553673,558649,558751,553645,617949,629269,610410,544196,544961,557423,457067,485095,493114,592014,588549,584313,485899,485217,504900
315.205,0.74681485,1682111,1634681,1676033,1900820,1970927,1927907,2251588,2256212,2247110,1729688,1761764,1705392,1923882,1939707,1903227,2157873,2187283,2240461,1570547,1661424,1708170,1811940,1826549,1793501,1668498,1718713,1728983
194.1159,0.7315185,534734,522208,519306,576642,596224,589076,599343,600983,600376,595415,600148,603854,540380,547382,538398,569194,594805,586467,433314,456504,468162,851405,835233,826922,568370,579150,586856
238.1413,0.7297036,708714,689416,699960,694493,719401,711585,716419,701591,703212,704915,703353,694732,783738,803385,774642,686689,701829,709026,574401,601912,623209,749545,746031,733256,618083,618080,647978
282.1666,0.7173334,660925,647980,644878,342093,793217,778581,767192,766091,769029,608239,600998,600434,868811,888208,864298,658395,653528,665483,512007,551853,540097,652382,635362,630301,532380,579210,591966
431.2696,0.8107779,207073,194180,207993,258463,270234,253799,242209,246205,239975,197000,255457,196640,352915,349605,343807,236179,240283,244517,169748,225022,181137,215847,214516,209900,205155,213756,215519
370.2256,0.7860001,269208,259021,265414,310859,323725,1,293523,181853,174017,247870,253712,246834,415615,416445,268635,180294,1,292191,216631,226558,225498,1,263970,1,260484,278466,259291
475.2973,0.81385195,207668,204966,208295,255521,268940,258284,251651,248368,250426,210048,218664,211282,361781,353603,354474,246182,252347,256050,175384,187390,188695,220781,221748,216661,217390,224584,220802
519.323,0.8169001,1,1,266830,389234,406699,394451,1,1,1,1,1,1,516785,518352,511340,1,1,1,1,1,1,346610,347747,1,1,1,349638
563.3499,0.82340735,305420,293030,300975,346348,361163,350479,352336,354172,360347,305109,316381,304283,476219,474993,394620,349115,361004,366380,259982,272377,277797,317342,321090,316061,318730,330816,328944
607.3772,0.8291481,303422,292464,299304,335264,348003,341967,345619,354819,349580,305244,272967,298519,452568,450277,436363,344679,354826,357575,251172,261752,238101,312597,310201,305802,312867,323119,320941
429.238,0.83129627,689710,678927,690784,810437,811264,815639,945048,937613,941225,704037,710739,695299,767180,781626,759196,928573,936837,955384,642202,665330,683011,750965,754595,752280,715322,736233,737413
156.0761,0.8362221,153182,171904,179072,73620,74649,75425,239449,231672,225576,312334,318787,329155,287282,297081,294464,303570,307390,297273,343716,353536,367879,253438,259077,249989,283567,294649,273044
651.4033,0.83188885,269965,263380,273027,255543,312786,302081,273332,316952,272554,272449,281414,275886,395993,396444,391678,260993,320528,324599,226703,239120,244529,280568,284801,277214,282641,293908,292605
414.2541,0.80335,274784,268672,1,306777,315477,301171,306225,1,1,249810,269129,261370,408420,414759,385745,1,1,1,231046,240640,238594,278416,173048,272064,1,268021,276647
308.1802,0.82042855,1,1,164220,1,205691,192774,1,1,215049,1,1,1,1,1,1,1,194007,1,164303,1,1,1,175238,1,1,1,1
402.7325,0.83652174,77442,54920,58161,1,57101,55927,62521,60744,62160,54902,58984,55092,74858,73374,1,58040,60644,61713,47716,50539,53015,56617,55174,1,53886,1,56835
695.4293,0.83837026,220852,210716,216277,238982,248733,244338,255321,259600,218635,222562,233026,193779,313783,311470,257487,243700,254099,260266,184606,170343,199813,225754,229383,222857,232497,239817,236593
394.2224,0.8312084,86319,86600,88761,85486,87509,89230,95890,1,1,85177,86582,81681,108034,104783,74033,1,90197,91451,72588,74891,82331,81457,83302,80103,86048,88639,87960
446.7584,0.8435555,68110,66560,70436,70434,71525,71145,75253,73768,75796,69426,70378,70516,89382,90605,85637,71413,74385,76116,61359,61996,62676,67620,67601,66396,68172,73062,73142
378.239,0.84174997,1,59130,55109,66642,69429,1,72102,1,70711,61950,65054,59737,1,81751,1,59192,73615,71808,1,1,53919,61692,63689,62084,63820,63483,63840
744.42,0.79675996,70089,67242,70745,65633,69559,67806,74236,42383,115384,65759,70573,67091,46751,50571,49078,40104,73455,72865,59628,1,1,64801,63654,65032,68057,69792,108405
832.4676,0.82440734,32767,33255,32390,33319,33845,34316,35559,34949,21526,32726,32931,31449,40240,40645,25964,21730,35517,37054,28876,29941,31211,32162,30801,31475,32495,33820,32517
427.7521,0.8459616,41645,41217,43107,43409,45216,45159,47993,47452,46631,40537,45704,1,53070,54357,52350,46196,47403,48778,37841,39121,41356,40931,42643,41331,43745,45451,43844
400.2542,0.8451111,117223,100262,102031,131039,136168,135339,136019,135540,135735,121626,125881,119453,154985,154808,152208,126153,115988,140148,101527,106325,107204,122049,122946,121942,117984,124296,121064
391.7415,0.8435555,167943,161565,166116,174153,183554,179544,191663,193362,194691,167023,173962,169040,229276,224499,218644,180447,191657,190605,141461,172237,151394,196647,196743,169352,172587,180571,179427
700.3989,0.7364,49313,96997,101106,97029,51995,1,1,58215,58530,48448,1,1,66293,71558,71265,58117,107555,109476,1,1,43504,95677,50395,48175,50485,1,52519
449.7649,0.84762967,42569,41987,41233,44156,43510,43319,49917,47837,47772,43717,47236,43164,54815,55239,55403,46698,47531,51230,36786,40525,42663,42733,42828,42463,39902,44418,43127
413.7545,0.8472592,148902,143966,167832,177858,163632,160751,196091,170532,171922,152851,159154,171653,231272,231913,227688,163661,170594,173871,128170,134602,137627,150104,172441,150044,175667,160861,179877
468.7718,0.8472963,76390,75040,75378,74810,77120,73414,80184,79546,81843,76783,79543,74369,95557,95379,93993,77342,81833,83890,66409,70971,75506,71194,72882,73413,73376,76930,78935
405.237,0.8472963,116013,113078,114211,115859,120169,118921,128474,121053,125465,111846,117736,111314,149173,143385,141641,121334,124029,124852,94971,99668,104014,112223,112757,112906,118872,118651,115814
490.7848,0.8509259,90572,86821,93419,87108,87764,85703,97933,95345,95732,92643,96562,89455,113157,111656,111512,92489,97527,98534,80100,83608,90226,85012,84805,86630,90407,94438,91676
435.7676,0.84911114,137301,132715,136408,141811,148982,145828,157242,155505,181463,161097,149088,138269,185186,184332,179285,147188,156187,158008,117303,124892,129187,137658,159285,137886,140868,144508,143172
444.7815,0.8504348,43086,45462,41148,46282,48484,1,52197,47626,53417,48124,50177,46734,54339,53958,53014,50963,51468,47121,40066,1,1,41774,44654,39966,46300,51395,1
444.279,0.8532001,140285,170926,172898,148922,153671,150406,157436,1,159989,143573,149559,180739,183406,179798,178832,156896,154338,157554,121229,126321,131299,175564,178750,139187,140220,148646,1
457.7805,0.8535927,128878,123227,126407,129054,152504,131777,164581,139515,142909,147699,137836,130916,170785,170694,164613,136591,143063,145353,112159,118981,123562,127374,142267,130499,129760,137475,135068
512.7984,0.8554075:2,81190,82088,83901,79531,81643,81092,88670,87818,91473,83732,89168,86028,102753,102096,98506,84235,88213,89972,73777,78947,80475,77597,78320,78335,81216,83888,84764
466.7936,0.8554076,49481,48666,54586,49441,51548,54443,59877,53774,54867,50168,53978,47804,63090,69663,62112,53490,52133,62532,47298,47531,49031,48074,48546,46018,50456,53941,53083
